"salary_id";"salary"
"1";"23708.05"
"2";"21482.94"
"3";"15480.98"
"4";"11900.67"
"5";"6097.59"
"6";"6501.28"
"7";"5151.14"
"8";"2360.42"
"9";"7841.75"
"10";"17572.83"
"11";"25391.04"
"12";"7907.00"
"13";"21442.78"
"14";"6897.37"
"15";"5598.62"
"16";"22749.33"
"17";"25050.54"
"18";"19628.12"
"19";"22944.50"
"20";"19004.18"
"21";"15539.40"
"22";"8445.00"
"23";"17041.90"
"24";"18754.61"
"25";"26088.71"
"26";"26177.22"
"27";"15534.74"
"28";"12826.73"
"29";"21790.07"
"30";"14793.29"
"31";"5669.75"
"32";"26666.10"
"33";"18356.30"
"34";"17133.47"
"35";"14109.38"
"36";"7060.66"
"37";"15910.95"
"38";"19186.38"
"39";"22664.00"
"40";"12157.55"
"41";"10292.53"
"42";"20105.98"
"43";"5135.08"
"44";"24556.92"
"45";"16833.12"
"46";"25726.49"
"47";"25147.04"
"48";"23607.23"
"49";"18105.47"
"50";"10310.39"
"51";"20551.36"
"52";"23644.01"
"53";"7491.23"
"54";"22153.29"
"55";"21856.70"
"56";"9388.97"
"57";"17021.79"
"58";"10079.65"
"59";"11334.49"
"60";"20018.08"
"61";"23166.84"
"62";"4209.41"
"63";"1589.07"
"64";"7124.98"
"65";"17032.43"
"66";"25757.34"
"67";"18651.68"
"68";"22774.80"
"69";"9169.87"
"70";"26551.11"
"71";"22007.83"
"72";"18485.11"
"73";"12322.02"
"74";"7300.17"
"75";"19082.81"
"76";"6602.51"
"77";"6739.73"
"78";"23110.40"
"79";"2910.29"
"80";"23767.85"
"81";"18758.83"
"82";"9890.17"
"83";"20799.28"
"84";"6872.22"
"85";"16493.66"
"86";"16875.68"
"87";"16750.87"
"88";"24537.92"
"89";"20126.54"
"90";"11552.88"
"91";"3260.52"
"92";"6951.67"
"93";"26929.72"
"94";"23986.97"
"95";"18460.40"
"96";"12600.56"
"97";"17189.37"
"98";"4797.99"
"99";"22236.51"
"100";"23275.28"
"101";"23106.29"
"102";"26041.43"
"103";"7145.49"
"104";"8440.95"
"105";"14468.14"
"106";"8171.15"
"107";"5719.16"
"108";"12260.80"
"109";"11670.26"
"110";"6518.67"
"111";"1813.76"
"112";"26729.25"
"113";"19560.33"
"114";"22765.69"
"115";"5032.80"
"116";"2931.03"
"117";"12578.17"
"118";"23853.98"
"119";"15109.95"
"120";"10652.82"
"121";"17764.82"
"122";"15978.39"
"123";"6466.04"
"124";"10828.48"
"125";"14045.89"
"126";"2352.62"
"127";"17663.79"
"128";"4973.78"
"129";"22637.39"
"130";"26796.13"
"131";"6533.83"
"132";"15384.94"
"133";"11057.30"
"134";"23071.38"
"135";"8026.51"
"136";"8474.06"
"137";"24825.86"
"138";"26339.83"
"139";"12315.56"
"140";"18761.12"
"141";"6503.93"
"142";"21829.62"
"143";"26824.64"
"144";"10090.01"
"145";"1772.80"
"146";"10668.54"
"147";"10957.29"
"148";"20714.13"
"149";"19800.34"
"150";"19265.91"
"151";"5816.14"
"152";"8739.79"
"153";"24401.67"
"154";"12606.36"
"155";"3810.33"
"156";"8150.81"
"157";"18926.60"
"158";"22393.93"
"159";"20244.69"
"160";"2772.32"
"161";"14824.18"
"162";"19850.64"
"163";"24267.77"
"164";"12147.04"
"165";"21464.26"
"166";"4198.67"
"167";"26454.60"
"168";"9915.88"
"169";"15950.00"
"170";"11252.96"
"171";"24150.72"
"172";"20660.51"
"173";"3811.10"
"174";"15033.68"
"175";"16932.64"
"176";"19243.58"
"177";"11947.11"
"178";"18487.25"
"179";"11545.43"
"180";"26619.67"
"181";"21307.36"
"182";"13117.71"
"183";"13963.47"
"184";"25960.37"
"185";"20419.37"
"186";"21225.07"
"187";"15341.86"
"188";"9382.31"
"189";"18256.07"
"190";"7458.05"
"191";"17577.23"
"192";"21335.67"
"193";"25695.59"
"194";"16575.81"
"195";"5203.76"
"196";"22473.49"
"197";"7597.12"
"198";"4433.58"
"199";"21809.29"
"200";"22795.63"
"201";"5047.42"
"202";"8992.66"
"203";"2992.52"
"204";"26685.61"
"205";"20606.49"
"206";"13535.58"
"207";"8099.26"
"208";"2508.52"
"209";"9207.73"
"210";"2660.66"
"211";"20080.63"
"212";"16739.74"
"213";"14439.65"
"214";"24261.22"
"215";"23381.15"
"216";"18057.23"
"217";"26501.20"
"218";"14507.22"
"219";"4504.55"
"220";"23168.82"
"221";"8185.46"
"222";"22174.44"
"223";"21140.05"
"224";"26959.70"
